prefix,public_prefix_mass,generated_prefix_mass,prefix_mass_abs_diff,prefix_l1_contribution,suffix_l1,suffix_kl,weighted_suffix_l1
085,0.002103689810920919,0.00210069305721952,2.9967537013989368e-06,2.996753701399883e-06,1.6295939817283396e-15,5.235501523092926e-17,3.4281602552999587e-18
086,0.0021036898109209174,0.002100693057219521,2.9967537013963347e-06,2.9967537013960674e-06,7.857213144002451e-16,7.864918202677695e-17,1.6529139233271862e-18
853,0.0034263615782387344,0.0034234764896985312,2.885088540203161e-06,2.8850885402033646e-06,2.2847392380787035e-15,0.0,7.82834274164731e-18
858,0.003426361578238727,0.0034234764896985256,2.885088540201426e-06,2.8850885402012974e-06,2.0086064972738016e-15,0.0,6.882212128059624e-18
067,0.008946437508608756,0.008943633481455408,2.804027153347627e-06,2.8040271533480737e-06,1.019299119935091e-15,0.0,9.119095879079193e-18
345,0.002955797659817998,0.0029531236824525855,2.673977365412472e-06,2.6739773654106417e-06,2.2254232148483793e-15,0.0,6.577900730553486e-18
110,0.00442330771369852,0.00442592435192225,2.616638223730365e-06,2.6166382237288506e-06,1.80107664893292e-15,0.0,7.966716234187266e-18
113,0.004423307713698519,0.004425924351922238,2.6166382237190894e-06,2.6166382237185778e-06,1.6458053453058397e-15,1.142245887312633e-16,7.279903479137575e-18
581,0.013279159397078744,0.013276678002398158,2.481394680585447e-06,2.4813946806133627e-06,1.681762740949732e-15,1.4670336795577164e-17,2.2332395505139538e-17
584,0.013279159397078763,0.01327667800239821,2.4813946805524872e-06,2.4813946805720855e-06,1.9127681074237665e-15,0.0,2.5399952588128868e-17
842,0.004446171882919955,0.0044486271203616696,2.455237441714893e-06,2.455237441714809e-06,1.4083515170043581e-15,5.1867917514861114e-17,6.261772916172442e-18
849,0.004446171882919969,0.004448627120361685,2.45523744171576e-06,2.4552374417135062e-06,1.950671137747502e-15,0.0,8.67301916547645e-18
847,0.0044461718829199625,0.004448627120361671,2.4552374417088213e-06,2.455237441709659e-06,2.0340174856914306e-15,2.356740874951056e-17,9.043591354248796e-18
841,0.004446171882919957,0.004448627120361667,2.4552374417096887e-06,2.4552374417088823e-06,2.1263373006785713e-15,7.045332852677117e-18,9.454061119880983e-18
846,0.004446171882919959,0.004448627120361667,2.455237441707954e-06,2.4552374417083605e-06,1.6310737482871929e-15,0.0,7.252034238603384e-18
825,0.004251018124357827,0.004248654851555196,2.36327280263033e-06,2.3632728026301274e-06,2.7586440076721175e-15,0.0,1.1727045675265282e-17
261,0.005638229322815259,0.005640525093932902,2.295771117643078e-06,2.2957711176419225e-06,1.841625810183878e-15,0.0,1.0383508644632148e-17
540,0.0024132625139408814,0.0024154361962927303,2.1736823518489143e-06,2.1736823518488486e-06,2.581485372687986e-15,2.2280448646367227e-17,6.229801880194622e-18
544,0.0024132625139408827,0.0024154361962927364,2.1736823518536848e-06,2.1736823518453436e-06,2.08335207267131e-15,4.158548578907343e-17,5.027675460318714e-18
855,0.0025697711836790457,0.0025676073672738914,2.1638164051543222e-06,2.1638164051538267e-06,8.930302244219979e-16,0.0,2.294883336874081e-18
597,0.0011737596547801077,0.0011715979148867212,2.1617398933864492e-06,2.161739893386307e-06,1.871853874972542e-15,4.577622277085304e-17,2.197106558086578e-18
591,0.0011737596547801029,0.001171597914886718,2.1617398933849313e-06,2.1617398933857496e-06,1.5628401621881755e-15,0.0,1.8343987292464727e-18
978,0.004483918374019062,0.00448584782847527,1.929454456208249e-06,1.9294544561911074e-06,1.4305505564859988e-15,1.4726515786800816e-16,6.414471925190764e-18
804,1.998467638718492e-06,1.9984040621617193e-07,1.79862723250232e-06,1.7986272325023186e-06,2.189519182280164e-15,1.5753932641291827e-17,4.375683230140283e-21
