rgram,public_prob,generated_prob,signed_diff,abs_diff
0142212,0.00010995613382016834,0.00010965692813850562,2.9920568166271963e-07,2.9920568166271963e-07
2142441,0.00088423067544708,0.0008845279843371173,-2.9730889003736893e-07,2.9730889003736893e-07
2413421,0.0007430560531841297,0.0007427617280575302,2.943251265995466e-07,2.943251265995466e-07
2134204,0.000874484589567246,0.0008747786214866304,-2.940319193844203e-07,2.940319193844203e-07
3421421,0.0008376884206966724,0.0008373946120514546,2.9380864521779543e-07,2.9380864521779543e-07
4214134,0.0015404961846210764,0.001540787922425105,-2.9173780402872926e-07,2.9173780402872926e-07
4204413,0.001535884843037552,0.001536175707549793,-2.908645122408869e-07,2.908645122408869e-07
4223232,0.001530006818281329,0.001530296569618444,-2.897513371150247e-07,2.897513371150247e-07
4232232,0.0015300068182813283,0.0015302965696184425,-2.897513371141573e-07,2.897513371141573e-07
2132321,0.0008599265669669645,0.0008602157039763888,-2.8913700942431037e-07,2.8913700942431037e-07
1413421,0.0012407586341399118,0.0012410475673997941,-2.8893325988233257e-07,2.8893325988233257e-07
4214214,0.0015210765358806026,0.0015213645960087418,-2.8806012813921075e-07,2.8806012813921075e-07
2142320,0.0008551018583267748,0.0008553893731025335,-2.8751477575866043e-07,2.8751477575866043e-07
0141322,0.00010537500959966714,0.00010508826978368691,2.8673981598023677e-07,2.8673981598023677e-07
2131232,0.0008515217927574921,0.0008518081037915686,-2.863110340764821e-07,2.863110340764821e-07
0142413,0.00010516801603324868,0.00010488183947507847,2.8617655817021444e-07,2.8617655817021444e-07
2123232,0.0008505161126755547,0.0008508020855652565,-2.859728897017851e-07,2.859728897017851e-07
2214213,0.0021702299391149504,0.0021705124053935376,-2.8246627858724213e-07,2.8246627858724213e-07
1421342,0.0012080152839300253,0.0012082965923040881,-2.8130837406280945e-07,2.8130837406280945e-07
0123221,0.00010320421578465076,0.00010292338299559682,2.8083278905394855e-07,2.8083278905394855e-07
3423214,0.0007977193376153921,0.000797439547621812,2.797899935801573e-07,2.797899935801573e-07
2213221,0.0021425455828627447,0.0021428244458839307,-2.788630211860224e-07,2.788630211860224e-07
0142323,0.00010245302424056339,0.00010217423554646073,2.787886941026617e-07,2.787886941026617e-07
4204132,0.0014679465146568479,0.0014682245130685887,-2.7799841174078535e-07,2.7799841174078535e-07
1323232,0.001560890291221953,0.0015606127883618067,2.775028601462344e-07,2.775028601462344e-07
2214204,0.0021305246050458857,0.0021308019034767013,-2.77298430815566e-07,2.77298430815566e-07
4413424,0.00029458438439746256,0.0002943087557388965,2.7562865856606104e-07,2.7562865856606104e-07
1421423,0.0011812399286383049,0.0011815150018829274,-2.7507324462249134e-07,2.7507324462249134e-07
2142044,0.0008155711725094683,0.0008158453957034603,-2.7422319399202e-07,2.7422319399202e-07
2134223,0.0008135095096425586,0.0008137830396342949,-2.735299917362233e-07,2.735299917362233e-07
2122134,0.0008122646843122595,0.0008125377957507294,-2.731114384699586e-07,2.731114384699586e-07
4131213,0.0005290875562119862,0.0005288159926249721,2.715635870141186e-07,2.715635870141186e-07
4232322,0.001430639173512055,0.0014309101066925488,-2.709331804937303e-07,2.709331804937303e-07
2120413,0.0008052629792846114,0.0008055337365080479,-2.7075722343653744e-07,2.7075722343653744e-07
0142041,9.907138288813797e-05,9.880179610274959e-05,2.695867853883796e-07,2.695867853883796e-07
2142122,0.0007982882716843229,0.0007985566837701915,-2.684120858685666e-07,2.684120858685666e-07
2121422,0.0007982882716843238,0.0007985566837701922,-2.6841208586845817e-07,2.6841208586845817e-07
2400413,0.0006767078116413389,0.0006764397671089257,2.680445324132301e-07,2.680445324132301e-07
1422321,0.0011508024045380474,0.0011510703898504804,-2.67985312432965e-07,2.67985312432965e-07
4131204,0.0005194076611038437,0.0005191410658949495,2.6659520889417594e-07,2.6659520889417594e-07
0142134,9.784526377731655e-05,9.757901342975665e-05,2.6625034755990305e-07,2.6625034755990305e-07
1312214,0.0014970183464129807,0.0014967521990257124,2.6614738726825696e-07,2.6614738726825696e-07
1342321,0.0014961871661898643,0.0014959211665739613,2.659996159030172e-07,2.659996159030172e-07
3221424,0.0010222974426625732,0.0010225630879429689,-2.656452803956842e-07,2.656452803956842e-07
1322134,0.001490690230026386,0.0014904252076832058,2.6502234318020144e-07,2.6502234318020144e-07
3422322,0.0007531294361564223,0.0007528652855082285,2.641506481938262e-07,2.641506481938262e-07
2141301,0.0007852189427518234,0.000785482960477954,-2.640177261306045e-07,2.640177261306045e-07
1320413,0.0014778405106186318,0.001477577772762651,2.627378559807471e-07,2.627378559807471e-07
